1548154670,282.0
1548154671,283.0
1548154672,288.0
1548154673,289.0
1548154674,287.0
1554128282,284.0
1554128283,284.0
1554128284,288.0
1554128285,266.0
1554128286,268.0
1554128287,284.0
1554128288,276.0
1554128289,292.0
1554128290,294.0
1554128291,232.0
1554128292,258.0
1554128293,234.0
1554128294,294.0
1554128295,250.0
1554128296,310.0
1554128297,306.0
1554128298,312.0
1554128299,260.0
1554128300,258.0
1554128301,264.0
1554128302,240.0
1554128303,292.0
1554128304,270.0
1554128305,276.0
1554128306,270.0
