1548154670,281.0
1548154671,282.0
1548154671,285.0
1548154672,287.0
1548154674,287.0
1548154676,290.2
1548154677,291.5
1554128282,242.0
1554128283,268.0
1554128284,276.0
1554128285,256.0
1554128286,244.0
1554128287,230.0
1554128288,288.0
1554128289,298.0
1554128290,294.0
1554128291,266.0
1554128292,304.0
1554128293,222.0
1554128294,276.0
1554128295,312.0
1554128296,310.0
1554128297,258.0
1554128298,302.0
1554128299,230.0
1554128300,290.0
1554128301,256.0
1554128302,266.0
1554128303,242.0
1554128304,318.0
1554128305,302.0
1554128306,270.0
